occ,utm_e,utm_n,pool,period,secchi,temp,depth,cond,current,do
0,734608,4648501,13,2,35,22.7,0.5,404,0,11.8
1,734108,4648551,13,3,60,20.7,0.6,464,0,4.4
1,734608,4648501,13,3,48,16.6,0.9,321,0,10.5
1,735008,4650751,13,2,46,23.8,1.2,376,0.08,8
0,734108,4648601,13,2,NA,NA,NA,NA,NA,NA
1,734958,4650701,13,3,29,18.9,0.9,459,0.06,7.4
1,734608,4648601,13,3,42,15.8,1,312,0.06,9.9
0,734608,4648701,13,1,42,27.8,0.8,367,0,8.2
0,735008,4650701,13,1,32,25.4,0.8,492,0,5.3
0,734508,4648651,13,1,NA,NA,NA,NA,NA,NA
0,734358,4648751,13,2,NA,NA,NA,NA,NA,NA
1,734458,4648801,13,1,21,26,0.5,361,0.11,6.4
0,734108,4648551,13,2,70,22.9,0.7,491,0,1.6
1,734958,4650701,13,1,36,23.1,0.7,478,0.16,8.2
1,735708,4651201,13,3,59,17.6,0.9,390,0.04,12.1
0,735108,4649651,13,2,68,25.2,0.8,294,0.02,7.9
1,735108,4649901,13,2,60,24.3,0.9,361,0.05,10
1,735708,4651201,13,2,50,24.5,1.1,376,0.04,10.1
1,735158,4649951,13,3,20,18.6,0.8,396,0,9.1
0,735558,4650501,13,2,NA,NA,NA,NA,NA,NA
0,735708,4651401,13,2,60,26.5,0.7,401,0.03,9.7
0,735458,4650451,13,3,NA,NA,NA,NA,NA,NA
0,735108,4649701,13,1,47,28.3,0.8,342,0.02,14.8
0,735658,4650601,13,1,58,26.3,0.6,469,0,7.7
0,735508,4650351,13,1,20,25.6,0.4,356,0,7.4
0,735508,4650551,13,2,NA,NA,NA,NA,NA,NA
0,735658,4651251,13,1,24,23.5,0.8,351,0.14,6.3
1,735458,4650451,13,3,101,22,0.8,381,0.04,8.8
0,735458,4650451,13,2,NA,NA,NA,NA,NA,NA
0,735508,4650551,13,2,NA,NA,NA,NA,NA,NA
0,735658,4651351,13,1,NA,NA,NA,NA,NA,NA
0,735658,4651201,13,1,NA,NA,NA,NA,NA,NA
0,735658,4650651,13,1,30,24.7,0.7,419,0,12.6
0,736858,4651401,13,3,NA,NA,NA,NA,NA,NA
0,736758,4650901,13,2,NA,NA,NA,NA,NA,NA
0,736758,4650851,13,3,NA,NA,NA,NA,NA,NA
0,736608,4651251,13,1,46,27.1,0.5,380,0,12.7
1,736708,4650951,13,2,41,19.8,0.5,389,0,8.2
0,736858,4651201,13,2,74,23.4,0.6,372,0.03,6.1
0,736758,4651201,13,2,NA,NA,NA,NA,NA,NA
0,737008,4651301,13,1,NA,NA,NA,NA,NA,NA
0,736558,4650901,13,1,NA,NA,NA,NA,NA,NA
0,736608,4651251,13,2,NA,NA,NA,NA,NA,NA
0,736358,4650651,13,3,76,15.5,0.8,396,0.08,8.1
0,736858,4651251,13,1,NA,NA,NA,NA,NA,NA
0,736808,4651101,13,1,NA,NA,NA,NA,NA,NA
1,735958,4651701,13,3,70,21.9,1.1,379,0,9.5
0,736008,4651601,13,1,52,26.7,1,374,0.05,13
0,737308,4651851,13,3,NA,NA,NA,NA,NA,NA
1,735208,4652551,13,2,40,26.4,1.8,360,0,9.1
0,735358,4652901,13,1,NA,NA,NA,NA,NA,NA
0,735258,4652651,13,3,NA,NA,NA,NA,NA,NA
1,735358,4653201,13,1,44,27.1,1,266,0.05,12.1
1,737358,4652601,13,3,68,20.5,0.8,370,0,7
1,737308,4653851,13,2,35,27.2,0.6,393,0.07,11.5
1,737258,4654051,13,1,46,28.5,0.8,383,0,11.6
1,736558,4656251,13,3,56,15.8,0.8,398,0.1,8.4
1,736708,4656151,13,1,60,28.2,1.1,353,0.12,11.5
0,736808,4656001,13,1,NA,NA,NA,NA,NA,NA
0,736958,4655601,13,1,NA,NA,NA,NA,NA,NA
0,737008,4655101,13,2,NA,NA,NA,NA,NA,NA
1,736958,4655101,13,2,24,24.4,0.6,446,0.13,7.7
0,737008,4655551,13,2,NA,NA,NA,NA,NA,NA
1,737158,4656051,13,2,34,29.5,0.8,489,0,7.1
0,737758,4655951,13,2,NA,NA,NA,NA,NA,NA
0,737408,4656151,13,1,30,27.7,0.5,372,0,5.8
0,737158,4656051,13,2,NA,NA,NA,NA,NA,NA
1,737458,4655801,13,3,60,15.4,1.1,395,0.15,7.8
0,738008,4656151,13,2,54,26.8,0.8,361,0,10
0,737858,4656051,13,1,52,27.4,1,361,0,7.2
1,737758,4655901,13,1,30,24.2,0.8,425,0,10.1
0,737858,4656001,13,2,110,22.2,0.8,318,0,4.8
1,737458,4655901,13,1,38,24.6,0.6,471,0.12,9.5
1,737158,4656051,13,2,34,18.4,1,365,0.16,8.3
1,737758,4656101,13,2,66,26.6,0.9,413,0,3.5
0,737758,4655851,13,2,NA,NA,NA,NA,NA,NA
0,737558,4656051,13,1,NA,NA,NA,NA,NA,NA
1,736908,4656551,13,1,32,27.2,0.5,523,0.14,6.9
0,735258,4656601,13,3,NA,NA,NA,NA,NA,NA
0,735258,4656451,13,2,NA,NA,NA,NA,NA,NA
1,735508,4656201,13,2,24,18.3,0.7,348,0.03,8.2
0,737158,4657001,13,2,NA,NA,NA,NA,NA,NA
1,737058,4656751,13,3,32,16.4,0.85,315,0.03,9.8
0,735358,4659151,13,3,NA,NA,NA,NA,NA,NA
0,734158,4659201,13,2,NA,NA,NA,NA,NA,NA
0,734208,4658851,13,1,NA,NA,NA,NA,NA,NA
0,734108,4659051,13,1,NA,NA,NA,NA,NA,NA
1,735208,4659401,13,3,68,14.5,0.7,403,0,8.6
1,734108,4660451,13,2,68,26.4,1.1,400,0,8.8
1,734158,4660401,13,2,43,25.3,1.1,446,0,3.9
1,734158,4660351,13,2,38,27,1.1,396,0,8.9
