date,utm_e,utm_n,stratum_full,year,period,pool,gear,secchi,temp,depth,cond,current,do,substrt,vegd,BLGL,FWDM,CARP,LMBS,ERSN,BKCP,SHRH,GZSD,WTBS,SFSN
1989-08-28,636921,4857744,Other,1989,3,08,T,NA,25,7.4,308,0.17,NA,3,NA,0,0,0,0,0,0,0,0,0,0
1989-08-28,637174,4856432,Main Chann. Bord.,1989,3,08,H,NA,24,4.05,301,0.13,NA,3,NA,0,0,0,0,0,0,0,0,0,0
1989-08-28,637174,4856432,Main Chann. Bord.,1989,3,08,T,NA,24,3.3,296,0.14,NA,3,NA,0,0,0,0,0,0,0,0,0,0
1989-08-28,637174,4856432,Main Chann. Bord.,1989,3,08,T,NA,24,6.3,280,0.18,NA,3,NA,0,0,0,0,0,0,0,0,0,0
1989-08-28,637326,4856025,Main Chann. Bord.,1989,3,08,H,NA,24,3,305,0.15,NA,3,NA,0,0,0,0,0,0,0,0,0,0
1989-08-29,637010,4856532,Other,1989,3,08,T,NA,24,4.9,NA,0.17,NA,3,NA,0,0,0,0,0,0,0,0,0,0
1989-08-29,637010,4856532,Other,1989,3,08,T,NA,24,6.3,NA,0.16,NA,3,NA,0,0,0,0,0,0,0,0,0,0
1989-08-29,637326,4856025,Other,1989,3,08,T,NA,24,4.9,NA,0.12,NA,3,NA,0,0,0,0,0,0,0,0,0,0
1989-08-29,637564,4855771,Other,1989,3,08,T,NA,24.1,7,NA,0.2,NA,3,NA,0,0,0,0,0,0,0,0,0,0
1989-08-29,637795,4855271,Other,1989,3,08,T,NA,24,6.1,NA,0.16,NA,3,NA,0,0,0,0,0,0,0,0,0,0
1989-08-30,639685,4839843,Main Chann. Bord.,1989,3,08,T,NA,24,3.04,305,0.11,NA,3,NA,0,0,0,0,0,0,0,0,0,0
1989-08-30,639685,4839843,Main Chann. Bord.,1989,3,08,H,NA,24,2.85,305,0.14,NA,3,NA,0,0,0,0,0,0,0,0,0,0
1989-08-30,639685,4839843,Main Chann. Bord.,1989,3,08,H,NA,23.5,3.4,306,0.07,NA,3,NA,0,0,0,0,0,0,0,0,0,0
1989-08-30,639696,4839485,Main Chann. Bord.,1989,3,08,T,NA,24,3.15,306,0.12,NA,3,NA,0,0,0,0,0,0,0,0,0,0
1989-08-31,639481,4840883,Other,1989,3,08,T,NA,23.1,6.5,NA,0.2,NA,3,NA,0,0,0,0,0,0,0,0,0,0
1989-08-31,639481,4840883,Other,1989,3,08,T,NA,23.1,7.2,NA,0.21,NA,3,NA,0,0,0,0,0,0,0,0,0,0
1989-08-31,639528,4839807,Other,1989,3,08,T,NA,23.1,4.2,NA,0.13,NA,3,NA,0,0,0,0,0,0,0,0,0,0
1989-08-31,639556,4840169,Other,1989,3,08,T,NA,23.1,4.7,NA,0.13,NA,3,NA,0,0,0,0,0,0,0,0,0,0
1989-09-01,638967,4837395,Other,1989,3,08,T,NA,22.2,3.9,NA,0.21,NA,3,NA,0,0,0,0,0,0,0,0,0,0
1989-09-01,639460,4839475,Other,1989,3,08,T,NA,22.2,3.9,NA,0.2,NA,3,NA,0,1,0,0,0,0,0,0,0,0
1989-09-05,641142,4847725,Main Chann. Bord.,1989,3,08,T,NA,22,3.1,NA,0.14,NA,3,NA,1,4,0,0,0,1,0,0,0,0
1989-09-05,641142,4847725,Main Chann. Bord.,1989,3,08,H,NA,21.5,3.7,NA,0.12,NA,3,NA,1,4,0,0,0,1,0,0,0,0
1989-09-05,641188,4847634,Other,1989,3,08,T,NA,22,7.2,NA,0.28,NA,3,NA,0,0,0,0,0,0,0,0,0,0
1989-09-05,641188,4848044,Main Chann. Bord.,1989,3,08,T,NA,22,3.3,NA,0.14,NA,3,NA,0,0,0,0,0,0,1,0,0,0
1989-09-05,641188,4848044,Main Chann. Bord.,1989,3,08,H,NA,21.5,3.82,NA,0.16,NA,3,NA,0,0,0,0,0,0,1,0,0,0
