Date,Easting,Northing,Pool,Temp,Depth,Velocity,DO,Clarity,Stratum,Substrate,Veg_type,Veg_density,Veg_cover
01/22/2002,639305,4844112,Pool 08,0.9,0.14,0,2.2,30,Connected backwater,Silt,S & E,Dense,>50%
01/23/2001,637655,4852912,Pool 08,0.1,0.1,0,0.4,23,Isolated,Silt,S & E,Dense,>50%
01/23/2023,643255,4834312,Pool 08,0.8,0.18,0,1.2,38,Isolated,Silt,Submergent,Sparse,>50%
01/23/2023,640855,4834112,Pool 08,0.1,0.82,0.08,13.7,106,Impounded lake,Silt,Submergent,Sparse,1 - 19%
01/23/2023,639455,4832312,Pool 08,0.2,0.75,0.01,13.6,95,Impounded lake,Silt,Submergent,Sparse,1 - 19%
01/23/2023,640255,4829912,Pool 08,0.4,0.67,0.01,13,94,Impounded lake,Clay,Emergent,Sparse,1 - 19%
01/23/2024,642655,4835712,Pool 08,0.7,1.31,0,14.6,124,Impounded lake,Silt,Submergent,Dense,1 - 19%
01/24/2011,637255,4852912,Pool 08,0.2,0.25,0,0.9,40,Isolated,Silt,S & E,Sparse,1 - 19%
01/24/2011,643455,4829512,Pool 08,0.1,0.09,0.01,11.7,49,Impounded lake,Sand,Submergent,Sparse,1 - 19%
01/24/2013,638455,4854962,Pool 08,0.2,1.33,0.06,15.5,150,Side channel,Silt/Clay/Sand,Submergent,Sparse,1 - 19%
01/24/2023,641255,4843962,Pool 08,0.3,0.9,0.01,14.1,112,Side channel,Silt/Clay/Sand,Emergent,Sparse,1 - 19%
01/24/2023,639255,4843912,Pool 08,0.3,0.71,0,7.8,80,Connected backwater,Silt,Submergent,Sparse,1 - 19%
01/25/2005,643105,4842212,Pool 08,1.3,0.2,0,2,49,Connected backwater,Silt,Submergent,Dense,>50%
01/25/2018,640390,4839824,Pool 08,0.3,0.23,0.08,13,53,Side channel,Silt,Emergent,Sparse,1 - 19%
01/25/2024,643455,4845062,Pool 08,1.2,0.59,0.02,13,87,Side channel,Silt/Clay/Sand,Emergent,Sparse,20 - 49%
01/26/2009,637255,4853112,Pool 08,0.6,0.16,0,0.9,56,Isolated,Silt,S & E,Dense,>50%
01/26/2016,638704,4850462,Pool 08,1.1,0.58,0,5.8,96,Connected backwater,Silt,Submergent,Dense,>50%
01/26/2017,640005,4836162,Pool 08,0.1,0.39,0.13,13,71,Connected backwater,Silt,Emergent,Dense,1 - 19%
01/26/2017,643055,4837512,Pool 08,0.1,0.41,0.1,11.8,73,Impounded lake,Silt/Clay/Sand,Submergent,Sparse,1 - 19%
01/26/2023,643055,4845362,Pool 08,0.3,0.09,0,0.2,27,Connected backwater,Clay,S & E,Sparse,>50%
01/26/2023,644405,4845162,Pool 08,1.4,0.15,0,3.7,32,Connected backwater,Silt,S & E,Dense,20 - 49%
01/26/2023,636855,4853712,Pool 08,0.5,0.36,0,7.7,57,Isolated,Silt,Submergent,Sparse,20 - 49%
01/27/2016,641004,4844511,Pool 08,0,0.72,0.1,13.4,103,Side channel,Silt/Clay/Sand,Submergent,Sparse,1 - 19%
01/27/2022,641255,4834912,Pool 08,0.2,1.66,0.02,13.1,116,Impounded lake,Silt,Submergent,Sparse,1 - 19%
01/28/2010,640955,4843112,Pool 08,0.1,0.56,0,11.4,80,Side channel,Silt/Clay/Sand,Submergent,Sparse,1 - 19%
01/28/2013,636854,4853312,Pool 08,1.4,0.37,0,0.9,57,Isolated,Silt,Submergent,Dense,20 - 49%
01/28/2013,637254,4853512,Pool 08,1.2,0.27,0,0.8,59,Isolated,Silt,S & E,Dense,20 - 49%
01/28/2013,637054,4853312,Pool 08,2.5,0.35,0,1.8,68,Isolated,Silt,Submergent,Sparse,20 - 49%
01/29/2002,637255,4853512,Pool 08,2.5,0.24,0,16.4,42,Isolated,Silt,Submergent,Dense,>50%
01/29/2002,636855,4853712,Pool 08,3.6,0.46,0,10.8,61,Isolated,Silt,Submergent,Dense,>50%
01/29/2007,643255,4834512,Pool 08,1.5,0.51,0,7.2,67,Isolated,Silt,Submergent,Sparse,1 - 19%
